dataset,view,metric,optimistic,reported,pessimistic,range,all_positive,sign_change
NanoMine,loading_focus_soft__method_type__L0.25__K50,paper ARI gain vs material-only,0.08810367006576242,0.011592537869164393,0.0030032823931938997,0.08510038767256851,True,False
NanoMine,loading_focus_soft__method_type__L0.25__K80,paper ARI gain vs material-only,0.14233167329305207,0.14380043506161327,0.0030833832266240996,0.14071705183498917,True,False
NanoMine,loading_focus_soft__method_type__L0.50__K8,paper ARI gain vs material-only,0.0456638693330009,0.0420191944247364,0.0435580724075314,0.003644674908264499,True,False
NanoMine,loading_focus_soft__method_type__L0.50__K12,paper ARI gain vs material-only,0.0425286839417094,0.048728554842581304,0.0435864021296372,0.006199870900871901,True,False
NanoMine,loading_focus_soft__method_type__L0.50__K20,paper ARI gain vs material-only,0.04469853307963602,0.0624736435920595,0.0476094640851301,0.017775110512423482,True,False
NanoMine,loading_focus_soft__method_type__L0.50__K30,paper ARI gain vs material-only,0.1258264900080423,0.09597885099747,0.0478079348168816,0.0780185551911607,True,False
NanoMine,loading_focus_soft__method_type__L0.50__K50,paper ARI gain vs material-only,0.2628569334503678,0.15131965717091367,0.054552382081816196,0.2083045513685516,True,False
NanoMine,loading_focus_soft__method_type__L0.50__K80,paper ARI gain vs material-only,0.30085866970076713,0.2446118329366157,0.06190896672380831,0.23894970297695883,True,False
NanoMine,loading_focus_soft__method_type__L0.75__K8,paper ARI gain vs material-only,0.0441515229283682,0.0401215606031702,0.0404327424871476,0.0040299623251979985,True,False
NanoMine,loading_focus_soft__method_type__L0.75__K12,paper ARI gain vs material-only,0.0826119439440665,0.0427844788044405,0.0431935270840985,0.039827465139626,True,False
NanoMine,loading_focus_soft__method_type__L0.75__K20,paper ARI gain vs material-only,0.07702039706817991,0.1368226833480879,0.07742123985076439,0.05980228627990798,True,False
NanoMine,loading_focus_soft__method_type__L0.75__K30,paper ARI gain vs material-only,0.1682618351299257,0.22073573426337711,0.21909045980240768,0.05247389913345141,True,False
NanoMine,loading_focus_soft__method_type__L0.75__K50,paper ARI gain vs material-only,0.29844472358578567,0.3458718572799861,0.40780586853947703,0.10936114495369137,True,False
NanoMine,loading_focus_soft__method_type__L0.75__K80,paper ARI gain vs material-only,0.27529925441780745,0.34678215747333063,0.6152984765308726,0.3399992221130651,True,False
NanoMine,loading_focus_soft__method_type__L1.00__K8,paper ARI gain vs material-only,0.041796307812423904,0.0405964707101938,0.0411143965763144,0.0011998371022301016,True,False
NanoMine,loading_focus_soft__method_type__L1.00__K12,paper ARI gain vs material-only,0.017794228104141004,0.0421097708307362,0.0447288272314425,0.0269345991273015,True,False
NanoMine,loading_focus_soft__method_type__L1.00__K20,paper ARI gain vs material-only,0.03930054928604061,0.1051731942458844,0.14117848163921612,0.10187793235317551,True,False
NanoMine,loading_focus_soft__method_type__L1.00__K30,paper ARI gain vs material-only,0.14515550326587667,0.193493861466988,0.2715545609609948,0.1263990576951181,True,False
NanoMine,loading_focus_soft__method_type__L1.00__K50,paper ARI gain vs material-only,0.24685578860861118,0.33091466515034507,0.4642568387284132,0.21740105011980204,True,False
NanoMine,loading_focus_soft__method_type__L1.00__K80,paper ARI gain vs material-only,0.24316791553964812,0.3425856827993745,0.6550193342221974,0.41185141868254926,True,False
