record_id,paper_group,system_id,system_label,view,cluster,pcoa1,pcoa2
l271-s6-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,material_identity,6,0.41494130323334316,-0.4453947457628286
l389-s12-natarajan-2013,article:l389,S1,PMMA / SiO2,material_identity,1,0.23996461250145318,0.21420810638314253
l271-s5-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,material_identity,5,0.46862939153102395,-0.4456022715602635
l271-s8-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,material_identity,5,0.49710045961027893,-0.29995450804749757
l389-s11-natarajan-2013,article:l389,S1,PMMA / SiO2,material_identity,1,0.11038183936947928,0.16792511202247545
e408-s24-prasad-2021,article:e408,S6,PS / SiO2,material_identity,4,0.12548979669806543,-0.04186074651165294
l180-s4-maillard-2012,article:l180,S6,PS / SiO2,material_identity,4,0.27130836663798824,-0.00041941300518529825
e408-s3-prasad-2021,article:e408,S6,PS / SiO2,material_identity,4,0.12548979669806545,-0.04186074651165298
l154-s2-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.331915878538842,-0.036865627169040446
l154-s5-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.33191587853884197,-0.03686562716904039
e116-s21-prasad-2018,article:e116,S1,PMMA / SiO2,balanced_instance,1,-0.21298849409251094,0.16423924669270912
l141-s3-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,balanced_instance,2,-0.08686206786488722,-0.24912643462131673
l225-s8-ma-2007,article:l225,S3,DGEBA epoxy / MWCNT,balanced_instance,3,0.31765793717177937,-0.1915244596909105
l141-s22-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,balanced_instance,2,-0.04418993309748962,-0.2447259721106911
l254-s7-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.3688260603049663,0.1308314740126297
l171-s15-rittigstein-2006,article:l171,S2,PMMA / Al2O3,balanced_instance,2,-0.33395934038015274,0.13400586051906307
l283-s7-salami-2012,article:l283,S1,PMMA / SiO2,balanced_instance,1,-0.08664062603245522,0.2554010126372963
l254-s24-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.3710191963477462,0.12957544157909143
l254-s12-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.37102227254472414,0.1295758772452931
l171-s14-rittigstein-2006,article:l171,S2,PMMA / Al2O3,balanced_instance,2,-0.2947278323630639,0.1498681048672346
l242-s4-narayanan-2006,article:l242,S2,PMMA / Al2O3,balanced_instance,4,-0.18801847716619613,0.026566232529889624
l140-s9-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,balanced_instance,3,0.20995838851997375,-0.10074768601529091
