mp_id,mi-eff N,mi-eff P,Seebeck,Powerfactor
mp-10223,0.7042939269376506,2.2783367928277385,579.52777,391.72947441466283
mp-10224,0.18415569448096034,,,
mp-10225,68.81622801509768,,,
mp-10226,0.6027928181169621,1.1004776049497085,527.8795666666666,582.0015084879327
mp-10229,0.184837845454279,,,
mp-1023,0.18328477008806407,,,
mp-10231,0.17658401324631406,,,
mp-10232,0.72222537625709,,,
mp-10233,0.5119654336438193,1.3763065775937404,423.72289333333333,331.7522743118025
mp-10234,0.45117704333132175,1.4449425500366322,438.43419,321.50094035875003
mp-1024,0.09522276681697138,,,
mp-10240,0.4474330851953702,,,
mp-10244,0.14997435915299295,,,
mp-10245,0.17384288342183907,,,
mp-10246,0.6716356720234642,1.923094224767988,593.7218166666667,515.2264649764916
mp-1025,0.1858603112385876,,,
mp-10250,0.6180385197484219,3.586271212120342,732.8392399999999,376.5887381889014
mp-10251,0.45686088037605344,1.7057931411353697,617.4469,535.5614538965567
mp-10256,0.22588396904397673,,,
mp-10257,0.21720306993211563,,,
mp-10259,2.043390012018641,,,
mp-10264,0.17809354963103566,,,
mp-10266,0.14476809121228276,,,
mp-10270,0.06932893086447968,,,
mp-10274,0.522123211903214,,,
mp-10280,0.1664684417650889,,,
mp-10281,0.18400927658858304,1.1936028507804426,474.63463333333334,499.28521868676404
mp-10283,0.7500125976572153,,,
mp-10284,0.7003654289430631,,,
mp-10286,0.8314189472659649,,,
mp-10287,0.13035352164804886,,,
mp-10288,0.4635719173525608,0.6689771673590221,386.75353666666666,547.7222670654372
mp-10289,0.6089486898001394,0.5142493476349803,457.33762,1093.7066057640718
mp-1029,0.5067252253230787,5.240698742393556,750.484,226.46634674391862
mp-10293,0.5539572308440224,3.5535874685023696,635.35395,269.4551700838031
mp-10298,0.3360662602651488,,,
mp-10299,2.564342651966859,3.715351588014881,628.1576766666667,203.1701075659788
mp-103,0.09885014836798996,,,
mp-10301,0.31599294541782874,,,
mp-10302,0.2349838317443469,,,
mp-10308,0.15145497115571052,,,
mp-1031,0.15205163776490496,,,
mp-10311,0.06572724613683961,,,
mp-10312,0.09389092042978578,,,
mp-10314,0.09498671630170487,,,
mp-10316,0.14001401793588875,,,
