material_profile,process_profile,process_lambda,bound,requested_clusters,mean_pair_distance,mean_same_paper_distance,mean_cross_paper_distance,mean_interval_width,same_paper_cocluster,cross_paper_cocluster,same_paper_recall_lift,same_paper_precision,same_paper_precision_lift,paper_ari,paper_nmi,actual_clusters,largest_cluster_fraction,shared_author_pair_count,shared_author_cocluster,shared_author_lift,same_location_pair_count,same_location_cocluster,same_location_lift
identity_strict,equal,0.25,pessimistic,30,0.8482529520988464,0.22647807002067566,0.8573503494262695,0.20778439939022064,0.8637913741223671,0.12825532489411848,6.734935760643641,0.08970085826181151,6.22050710083755,0.14005639776113668,0.6572948722986611,30,0.23557692307692307,8437,0.22839871992414365,1.816833599005887,92,1.0,7.811287437508599
identity_strict,equal,0.25,pessimistic,50,0.8482529520988464,0.22647807002067566,0.8573503494262695,0.20778439939022064,0.8531594784353059,0.10874025200243022,7.845847905670099,0.10297322163575613,7.1409088919948545,0.1622064451596953,0.7184975361787632,50,0.234375,8437,0.2272134645016001,2.1489561284243615,92,1.0,9.216630137727629
identity_strict,equal,0.25,pessimistic,80,0.8482529520988464,0.22647807002067566,0.8573503494262695,0.20778439939022064,0.8258776328986961,0.05696029773033451,14.499180408231444,0.17501275293317464,12.136651682645283,0.27148427476100745,0.8193996393317301,80,0.1971153846153846,8437,0.20267867725494845,3.8054390465169656,92,0.782608695652174,13.786986878942221
identity_strict,equal,0.5,optimistic,8,0.593471109867096,0.07362925261259079,0.6010770201683044,0.20826004445552826,0.9693079237713139,0.3050297759684894,3.177748535183813,0.04442850706608189,3.0809944190002496,0.05901371246581226,0.45975016816468056,8,0.4699519230769231,8437,0.437359250918573,1.449795063097638,92,1.0,3.2803871526941784
identity_strict,equal,0.5,optimistic,12,0.593471109867096,0.07362925261259079,0.6010770201683044,0.20826004445552826,0.9235707121364092,0.18390659532565723,5.021955360007471,0.06844773501033258,4.746661625302293,0.10337513365513991,0.5573709991867348,12,0.25841346153846156,8437,0.3066255778120185,1.696026555498579,92,0.9347826086956522,5.08853207279984
identity_strict,equal,0.5,optimistic,20,0.593471109867096,0.07362925261259079,0.6010770201683044,0.20826004445552826,0.9155466399197593,0.14165671199344898,6.463136317621854,0.0863935791625653,5.991156417689504,0.1350950299341596,0.6395054585239451,20,0.25841346153846156,8437,0.25198530283276044,1.814733289554221,92,0.8913043478260869,6.3010085852014015
identity_strict,equal,0.5,optimistic,30,0.593471109867096,0.07362925261259079,0.6010770201683044,0.20826004445552826,0.9147442326980942,0.12129047785366484,7.541764604157299,0.09937888198757763,6.891651351570238,0.1573599460222577,0.6990561310719123,30,0.2403846153846154,8437,0.25056299632570816,2.123270741402371,92,0.8913043478260869,7.361132692873309
identity_strict,equal,0.5,optimistic,50,0.593471109867096,0.07362925261259079,0.6010770201683044,0.20826004445552826,0.9003009027081244,0.05775862828027272,15.587297162588941,0.18570778334091945,12.878322541589265,0.29095099299296434,0.8046654801528187,50,0.171875,8437,0.18264786061396232,3.345966216652537,92,0.8913043478260869,15.491922011133026
identity_strict,equal,0.5,optimistic,80,0.593471109867096,0.07362925261259079,0.6010770201683044,0.20826004445552826,0.8802407221664995,0.01682951240200639,52.30340019010642,0.43351116380162025,30.06280346671312,0.5726650855729954,0.900937550835128,80,0.07451923076923077,8437,0.11331041839516416,7.879888229768685,92,0.782608695652174,47.08078263941149
identity_strict,equal,0.5,reported,8,0.7477295994758606,0.09123727679252625,0.7573348879814148,0.20826004445552826,0.9610832497492477,0.3058398466735738,3.1424396140736444,0.043956548066866066,3.048265364197258,0.058091213112023074,0.43792844481228,8,0.40625,8437,0.4059499822211687,1.3384530789711702,92,1.0,3.2716907915590094
identity_strict,equal,0.5,reported,12,0.7477295994758606,0.09123727679252625,0.7573348879814148,0.20826004445552826,0.9602808425275827,0.248583110025799,3.863017251767108,0.05349679265103596,3.7098550114929845,0.07610825210134776,0.5290884935931724,12,0.37740384615384615,8437,0.3899490340168306,1.591670355984379,92,1.0,4.026086545394372
identity_strict,equal,0.5,reported,20,0.7477295994758606,0.09123727679252625,0.7573348879814148,0.20826004445552826,0.9137412236710131,0.14631168350889756,6.245169228850041,0.08372392243359986,5.8060230871826946,0.1304188376753898,0.6355516016471914,20,0.2536057692307692,8437,0.2650231124807396,1.849462126190307,92,0.9347826086956522,6.3982942969074905
identity_strict,equal,0.5,reported,30,0.7477295994758606,0.09123727679252625,0.7573348879814148,0.20826004445552826,0.905717151454363,0.1338994044806302,6.764161162385031,0.09005505026328386,6.245069339180778,0.1412957785149278,0.6743963177311599,30,0.2536057692307692,8437,0.2510370984947256,1.9174103134320957,92,0.8913043478260869,6.666707561698191
identity_strict,equal,0.5,reported,50,0.7477295994758606,0.09123727679252625,0.7573348879814148,0.20826004445552826,0.905717151454363,0.11647994928252976,7.775734424965164,0.10214701024863691,7.083613411216206,0.16186658913508328,0.7459526014631065,50,0.24759615384615385,8437,0.25056299632570816,2.2158939913001263,92,0.8913043478260869,7.665771024446367
identity_strict,equal,0.5,reported,80,0.7477295994758606,0.09123727679252625,0.7573348879814148,0.20826004445552826,0.8559679037111334,0.0262216365189266,32.64357291709469,0.32323308840239373,22.415323115015827,0.4579135557866173,0.8792721046089748,80,0.10817307692307693,8437,0.15562403697996918,6.785175339651263,92,0.782608695652174,30.080274351652882
identity_strict,equal,0.5,pessimistic,8,0.8017311692237854,0.1619129776954651,0.8110924363136292,0.20826004445552826,0.9863590772316951,0.3025349929999325,3.2603140134335313,0.04553030723929107,3.157401221944627,0.06116096244716817,0.45285501701363534,8,0.4206730769230769,8437,0.39765319426336376,1.3249816236203136,92,1.0,3.3074622517842402
identity_strict,equal,0.5,pessimistic,12,0.8017311692237854,0.1619129776954651,0.8110924363136292,0.20826004445552826,0.9863590772316951,0.2542594750389626,3.8793404929375623,0.053710702816070606,3.724689091415114,0.0766185951495287,0.5141275820151266,12,0.3737980769230769,8437,0.3810596183477539,1.5179250920334908,92,1.0,3.936108254272739
identity_strict,equal,0.5,pessimistic,20,0.8017311692237854,0.1619129776954651,0.8110924363136292,0.20826004445552826,0.9526579739217653,0.13919714949033052,6.843947432903019,0.09102060373742214,6.312027809350428,0.14362083065483813,0.6488268328911195,20,0.25,8437,0.2550669669313737,1.8719821833757844,92,1.0,7.196074703173195
identity_strict,equal,0.5,pessimistic,30,0.8017311692237854,0.1619129776954651,0.8110924363136292,0.20826004445552826,0.9526579739217653,0.1337820029291687,7.12097257525852,0.09435724220147029,6.543414483466293,0.1493863116402925,0.6789582536346395,30,0.25,8437,0.24368851487495555,1.8603413576464325,92,1.0,7.487942139857987
identity_strict,equal,0.5,pessimistic,50,0.8017311692237854,0.1619129776954651,0.8110924363136292,0.20826004445552826,0.9526579739217653,0.08987382268256675,10.599949412261473,0.1342663273960984,9.310999461488793,0.2155315682552635,0.7839034108683881,50,0.25,8437,0.24321441270593813,2.8287243434300424,92,1.0,11.157227554128863
identity_strict,equal,0.5,pessimistic,80,0.8017311692237854,0.1619129776954651,0.8110924363136292,0.20826004445552826,0.9380140421263792,0.027536533895295427,34.06434686707747,0.3326219945938256,23.06641786220805,0.4800285601955821,0.8930289996301995,80,0.11899038461538461,8437,0.1316818774445893,5.290105688069577,92,0.782608695652174,28.63280250315229
identity_strict,equal,0.75,optimistic,8,0.5464737415313721,0.046281393617391586,0.5537921786308289,0.20873568952083588,0.9889669007021064,0.30694635629609845,3.221953544703723,0.045018719751620855,3.1219240407735853,0.06019301614963785,0.46218368612644084,8,0.4831730769230769,8437,0.4890363873414721,1.6175968758586048,92,1.0,3.259886302733328
identity_strict,equal,0.75,optimistic,12,0.5464737415313721,0.046281393617391586,0.5537921786308289,0.20873568952083588,0.9889669007021064,0.2941701324583004,3.361887532352713,0.0468822807801668,3.2511568578897774,0.06374084813338497,0.49661667984670393,12,0.4831730769230769,8437,0.4890363873414721,1.6908676971883778,92,1.0,3.4015978429120683
