profile,bound,requested_clusters,mean_interval_width,same_paper_cocluster,cross_paper_cocluster,same_paper_recall_lift,same_paper_precision,same_paper_precision_lift,paper_ari,paper_nmi,actual_clusters,largest_cluster_fraction,shared_author_pair_count,shared_author_cocluster,shared_author_lift,same_location_pair_count,same_location_cocluster,same_location_lift
strict_equal,reported,80,0.0,0.795163290615957,0.04904505610243567,16.21291428345349,0.115121046174103,14.46158767578537,0.1898570000048673,0.750779436137949,80,0.15231187669990934,11563,0.18282452650696185,3.9377057619079583,311,0.7234726688102894,14.856620348125938
strict_equal,pessimistic,8,0.0,0.9958660603555188,0.9782224691706127,1.018036378984287,0.00810288545466471,1.0178902322713603,0.0002870639691746097,0.026908615044589967,8,0.9891205802357208,11563,0.9946380697050938,1.0171147944543626,311,1.0,1.0222740952103062
strict_equal,pessimistic,12,0.0,0.9712691194708557,0.7652239536253037,1.2692612598826765,0.010082306292697999,1.2665464853877815,0.004267313613027219,0.1633435499318059,12,0.8703535811423391,11563,0.8091325780506788,1.058567790232993,311,0.9967845659163987,1.30280848610141
strict_equal,pessimistic,20,0.0,0.9280694501860273,0.31602298831510245,2.9367150001779656,0.023022689398795027,2.8921266122748808,0.02985910520746252,0.42349338348617077,20,0.40253853127833183,11563,0.48854103606330535,1.5625829903730284,311,0.77491961414791,2.4539379022144003
strict_equal,pessimistic,30,0.0,0.8927242662257131,0.12581707205825032,7.09541441095055,0.05386898822590301,6.767060603815055,0.08791187464528871,0.5955979209561942,30,0.21940163191296463,11563,0.2854795468304073,2.3267393596291837,311,0.77491961414791,6.175540350772153
strict_equal,pessimistic,50,0.0,0.8040512608515916,0.05138369421891975,15.647984697751367,0.11155721250358475,14.01389635607506,0.18452907538881005,0.7309025942348527,50,0.15231187669990934,11563,0.18671625010810344,3.831061654138551,311,0.7234726688102894,14.17550070283712
strict_equal,pessimistic,80,0.0,0.795163290615957,0.04904505610243567,16.21291428345349,0.115121046174103,14.46158767578537,0.1898570000048673,0.750779436137949,80,0.15231187669990934,11563,0.18282452650696185,3.9377057619079583,311,0.7234726688102894,14.856620348125938
soft_equal,optimistic,8,0.0,0.9071930549813972,0.5603874509673835,1.6188675414043114,0.012823771749134417,1.6109313253103947,0.009743997719982142,0.24490687337108938,8,0.7035358114233907,11563,0.6309781198650869,1.1287478390006922,311,0.9871382636655949,1.7622207265631848
soft_equal,optimistic,12,0.0,0.87474162877222,0.294613668593417,2.9691142062366813,0.023270775710852915,2.9232913911942933,0.030296974961284306,0.4325376621433239,12,0.4759746146872167,11563,0.5299662717287901,1.8273961639389353,311,0.77491961414791,2.6325057172718656
soft_equal,optimistic,20,0.0,0.8462174452252997,0.14588789464518215,5.800463755292431,0.04447486203450224,5.586963792074171,0.0704478339129879,0.5660557876501913,20,0.27651858567543064,11563,0.29663582115367987,2.075243541913578,311,0.77491961414791,5.32359359262158
