material_profile,process_profile,process_lambda,requested_clusters,ari_optimistic_reported,ari_reported_pessimistic,ari_optimistic_pessimistic
identity_strict,sequence,0.0,30,0.8701434434496215,0.17993941171577316,0.15250881566088684
identity_strict,sequence,0.0,50,0.914510249336182,0.45826714511710687,0.44788786870870567
identity_strict,sequence,0.0,80,0.920706983002375,0.43435708469489376,0.41698196210582644
identity_strict,sequence,0.25,8,0.5199394817138162,0.155009770987934,-0.042789364861863875
identity_strict,sequence,0.25,12,0.5122394336935591,0.7351009710420677,0.3853093915317328
identity_strict,sequence,0.25,20,0.6829051283493452,0.7212916029860958,0.6240910113096181
identity_strict,sequence,0.25,30,0.9330728347301477,0.7006075006472539,0.660486842960089
identity_strict,sequence,0.25,50,0.9875310183833071,0.6966205682227271,0.689659461697566
identity_strict,sequence,0.25,80,0.8634645703003316,0.5917781883052905,0.4936668830393883
identity_strict,sequence,0.5,8,0.5747599249588894,0.6041475799497059,0.5976359391624325
identity_strict,sequence,0.5,12,0.7269917610893605,0.7260677306868074,0.7275705311992942
identity_strict,sequence,0.5,20,0.6529700248202412,0.6856562791422044,0.8342602354121825
identity_strict,sequence,0.5,30,0.6700449282584657,0.6659710102373892,0.8273133375865116
identity_strict,sequence,0.5,50,0.5967254007404095,0.6885316172100537,0.6837079553154186
identity_strict,sequence,0.5,80,0.8026229489042935,0.7225140097014938,0.7460585388353101
identity_strict,sequence,0.75,8,0.07117295596814367,0.06987116296383077,0.1734304762069592
identity_strict,sequence,0.75,12,0.5726714300051597,0.7311652706259723,0.48006727652747294
identity_strict,sequence,0.75,20,0.6406842354221599,0.6615222274755086,0.7013484566357464
identity_strict,sequence,0.75,30,0.8439951522010403,0.7670993509240099,0.8151457989600914
identity_strict,sequence,0.75,50,0.7869979426137738,0.8013946135800386,0.8095560011565627
identity_strict,sequence,0.75,80,0.9142209444186269,0.9333482910029212,0.9406446715715673
identity_strict,sequence,1.0,8,0.1993922467678434,0.7089574395725365,0.35449842221323674
identity_strict,sequence,1.0,12,0.6077464012405853,0.6938105976499059,0.8218586323267018
identity_strict,sequence,1.0,20,0.6215957868638823,0.7391144485220112,0.8104942826885178
identity_strict,sequence,1.0,30,0.7586860953476674,0.8402221654050952,0.8748326856183388
identity_strict,sequence,1.0,50,0.8667738800070612,0.8992184190166282,0.7853096549299781
identity_strict,sequence,1.0,80,0.9772604234890837,0.9273801548045355,0.9229107330094543
identity_strict,settings_all,0.0,8,0.03924942006359841,1.0,0.03924942006359841
identity_strict,settings_all,0.0,12,0.014976181893272296,0.8976247593843059,-0.002253389159043112
identity_strict,settings_all,0.0,20,0.7034141303504452,0.08505817510306166,0.05309778728001015
identity_strict,settings_all,0.0,30,0.8701434434496215,0.17993941171577316,0.15250881566088684
identity_strict,settings_all,0.0,50,0.914510249336182,0.45826714511710687,0.44788786870870567
identity_strict,settings_all,0.0,80,0.920706983002375,0.43435708469489376,0.41698196210582644
identity_strict,settings_all,0.25,8,0.1744177432388511,0.24296888506911996,0.1260655878923261
identity_strict,settings_all,0.25,12,0.7806014054342174,0.25562585461033155,0.10585238175794186
identity_strict,settings_all,0.25,20,0.8945331009764468,0.494380239902159,0.5100450092341671
identity_strict,settings_all,0.25,30,0.9473095701910225,0.857145517965484,0.8307692032704608
identity_strict,settings_all,0.25,50,0.9945043898883601,0.7916909275484229,0.7882746229979813
identity_strict,settings_all,0.25,80,0.8479422112519174,0.5854873700245727,0.6227008563775249
identity_strict,settings_all,0.5,8,0.4009427708703733,0.24007293365414886,0.035169182764926046
identity_strict,settings_all,0.5,12,0.5860981745891535,0.6316553739480576,0.5480856200835659
identity_strict,settings_all,0.5,20,0.8858139294053567,0.6870498566038363,0.67774642559436
identity_strict,settings_all,0.5,30,0.9269997614451881,0.7482970516951544,0.724749376268791
identity_strict,settings_all,0.5,50,0.9331659383574872,0.7386291764390877,0.7134809370860236
identity_strict,settings_all,0.5,80,0.7340798132347869,0.6394094949283204,0.6565392595892138
identity_strict,settings_all,0.75,8,0.3956391897961644,0.27677964891744034,0.25947590196099757
identity_strict,settings_all,0.75,12,0.2247704366205884,0.3506419308931104,0.5002389902557004
identity_strict,settings_all,0.75,20,0.6460281808527715,0.6526806504256194,0.5591120298506217
identity_strict,settings_all,0.75,30,0.4793323806960609,0.6152836706769318,0.4890031598463241
identity_strict,settings_all,0.75,50,0.6011457937356616,0.6440578701564339,0.4994021282330678
