control,condition,repeat,k,same_paper_cocluster,cross_paper_cocluster,same_paper_recall_lift,same_paper_precision,same_paper_precision_lift,paper_ari,paper_nmi,actual_clusters,largest_cluster_fraction,shared_author_pair_count,shared_author_cocluster,shared_author_lift,same_location_pair_count,same_location_cocluster,same_location_lift
sequence_order_shuffle,shuffled,4,50,0.9157472417251755,0.07345228067188908,12.4672404089917,0.15426987935520936,10.698190614559369,0.24543150360762886,0.797531305939536,50,0.2403846153846154,8437,0.21690174232547113,3.107036106632764,92,0.782608695652174,10.682511473284757
sequence_order_shuffle,shuffled,5,20,0.9735205616850552,0.20430804993087984,4.764964288066037,0.06517330754871548,4.519589112609979,0.09778026781702137,0.6056314527746406,20,0.35096153846153844,8437,0.34016830627000116,1.6935733263044406,92,0.9565217391304348,4.686422690096222
sequence_order_shuffle,shuffled,5,50,0.9265797392176529,0.07236338128208364,12.804539019614104,0.15778506524561045,10.941959060209939,0.25119843239098283,0.8047503561523068,50,0.2403846153846154,8437,0.21690174232547113,3.1575382050143963,92,0.782608695652174,10.843729052774187
sequence_order_shuffle,shuffled,6,20,0.9374122367101304,0.16605568942593577,5.645167834663295,0.0762938775510204,5.290769968681555,0.11756942086522264,0.6254139242694187,20,0.27163461538461536,8437,0.27806092212871875,1.7036826693108718,92,0.8913043478260869,5.373841855954932
sequence_order_shuffle,shuffled,6,50,0.9151454363089268,0.0607494328037545,15.064263056829198,0.18060174188440223,12.524232650445398,0.28443394324225635,0.8065197537496483,50,0.19110576923076922,8437,0.16214294180395875,2.787164192704014,92,0.782608695652174,12.924046897330934
sequence_order_shuffle,shuffled,7,20,0.9416248746238716,0.1982736101857586,4.7491185223373,0.06497065662717307,4.505535830167948,0.09719767278566842,0.6054677611171501,20,0.34134615384615385,8437,0.34016830627000116,1.747404053514909,92,0.9565217391304348,4.8292395912143835
sequence_order_shuffle,shuffled,7,50,0.9115346038114343,0.054189621115843044,16.821202751405384,0.19750510714130481,13.696434406884755,0.3082671570577719,0.8129245967483183,50,0.19110576923076922,8437,0.1671210145786417,3.256316659714044,92,0.782608695652174,14.494665396354078
sequence_order_shuffle,shuffled,8,20,0.9446339017051153,0.20080948369732707,4.7041299260991485,0.06439481997073584,4.465603146359779,0.09616714214005213,0.6039587812403554,20,0.34134615384615385,8437,0.35320611591798035,1.7934718200515143,92,0.9565217391304348,4.768176178265324
sequence_order_shuffle,shuffled,8,50,0.917753259779338,0.06525178230230312,14.064799878224093,0.17066437870705412,11.83510392407498,0.27005737338803776,0.8049793335844798,50,0.21875,8437,0.21690174232547113,3.532536492964101,92,0.782608695652174,12.029394914456129
sequence_order_shuffle,shuffled,9,20,0.9376128385155467,0.15941369665200125,5.881632872251545,0.0792364548721774,5.494829589466848,0.12279665475912183,0.6359593099864549,20,0.2764423076923077,8437,0.2733199004385445,1.7462139785863122,92,0.8913043478260869,5.59808223285466
sequence_order_shuffle,shuffled,9,50,0.9197592778335005,0.08076639732794069,11.387895316154147,0.1428215431579603,9.904280076937662,0.22797705522565406,0.7899485924171913,50,0.2403846153846154,8437,0.22342064714946072,2.8961445055568955,92,0.782608695652174,9.712577107933681
settings_value_shuffle,original,-1,20,0.9574724172517552,0.19790379529865487,4.838070011779421,0.06610711762994972,4.584346266038736,0.0993785512810582,0.6201955881516922,20,0.35336538461538464,8437,0.3546284224250326,1.828695208157789,92,1.0,5.058497683260069
settings_value_shuffle,original,-1,50,0.9466399197592779,0.06424799903730728,14.734154120653416,0.17734601074824308,12.29845667635399,0.2812697603846683,0.8145060708036616,50,0.1971153846153846,8437,0.19295958279009126,3.1643200282299273,92,0.782608695652174,12.217957251093036
settings_value_shuffle,shuffled,0,20,0.9325977933801404,0.18647181922509107,5.001280071464294,0.06818515150626266,4.728452183572513,0.10297111797870437,0.6186043033474108,20,0.33774038461538464,8437,0.3302121607206353,1.806194799599789,92,0.782608695652174,4.200554534349409
settings_value_shuffle,shuffled,0,50,0.882246740220662,0.06555996137488956,13.457096705346375,0.16450345988404713,11.407861197206731,0.2592964232139131,0.7865212216208741,50,0.19591346153846154,8437,0.17399549602939435,2.770337795182854,92,0.782608695652174,11.972665228131499
settings_value_shuffle,shuffled,1,20,0.9197592778335005,0.18696490574122937,4.91942203905637,0.06714407052690156,4.6562560892412765,0.10098799936574097,0.6150031572919689,20,0.33653846153846156,8437,0.33542728457982696,1.8309829895430898,92,0.9565217391304348,5.121743641407725
settings_value_shuffle,shuffled,1,50,0.870210631895687,0.06322660553959221,13.763361554350173,0.1676197836166924,11.623969652388384,0.2632794452412733,0.7894153743046188,50,0.1935096153846154,8437,0.18762593338864525,3.1235642763053617,92,0.9565217391304348,15.18642109913627
settings_value_shuffle,shuffled,2,20,0.9197592778335005,0.18701773643938704,4.918032350004391,0.06712637620051534,4.6550290365122065,0.10095596747721013,0.6119375371562498,20,0.33533653846153844,8437,0.3302121607206353,1.8006813301706526,92,0.782608695652174,4.188278965298409
settings_value_shuffle,shuffled,2,50,0.8754262788365095,0.06294777685487114,13.907183423726673,0.1690752004959126,11.724898798522567,0.26566309010222156,0.7958140326811173,50,0.19831730769230768,8437,0.18004029868436647,3.0019425032642104,92,0.782608695652174,12.471176201372998
settings_value_shuffle,shuffled,3,20,0.9648946840521565,0.21482135886425738,4.4916142843219795,0.06166508551062793,4.276303590909134,0.09128847558402155,0.5948262462599692,20,0.37740384615384615,8437,0.3785705819604125,1.7970393661292337,92,1.0,4.659630642954856
settings_value_shuffle,shuffled,3,50,0.8860581745235707,0.07634916395420166,11.60534220197979,0.14515280972724284,10.065946983243519,0.23037027825485173,0.7747411166622488,50,0.1971153846153846,8437,0.18869266326893447,2.567366856190243,92,0.9565217391304348,12.567385853842607
settings_value_shuffle,shuffled,4,20,0.9592778335005016,0.220612190390096,4.348253973655151,0.05981462719051372,4.1479794104818115,0.08784490105763412,0.5882842641892595,20,0.38100961538461536,8437,0.37217020267867723,1.716938312042413,92,1.0,4.537170487392271
settings_value_shuffle,shuffled,4,50,0.8842527582748245,0.06524297718594352,13.55322513493966,0.16548410106243194,11.475865958049843,0.2608360900854194,0.7935770732097727,50,0.19831730769230768,8437,0.17458812374066612,2.794907218529876,92,0.9565217391304348,14.715210616542594
settings_value_shuffle,shuffled,5,20,0.9197592778335005,0.184631549905932,4.981593223379802,0.06793498392378243,4.711103751758453,0.10241857863430293,0.6197057311869085,20,0.33533653846153844,8437,0.3292639563826005,1.8195491591782895,92,0.782608695652174,4.242470498525446
settings_value_shuffle,shuffled,5,50,0.8762286860581745,0.06553648106459727,13.370090548415366,0.1636138892010338,11.346171924020178,0.2577004444359295,0.7891820481564766,50,0.19831730769230768,8437,0.18407016712101457,2.943864589428571,92,0.782608695652174,11.976968652754092
settings_value_shuffle,shuffled,6,20,0.9614844533600803,0.21443099870564789,4.4838874004402784,0.06156553460412064,4.269400010131612,0.09108528358782503,0.5980984757410157,20,0.37740384615384615,8437,0.3714590494251511,1.7651224052726875,92,0.782608695652174,3.652313306538806
settings_value_shuffle,shuffled,6,50,0.8860581745235707,0.09426757574601348,9.399394940534913,0.12089776926235117,8.383926829070761,0.19226649939538362,0.7558082734994613,50,0.24759615384615385,8437,0.22922839871992415,2.5234109778778184,92,0.782608695652174,8.318398280732318
settings_value_shuffle,shuffled,7,20,0.9614844533600803,0.21283140256698493,4.517587356769262,0.061999560195066424,4.299498487701841,0.09188375792446027,0.6030768280320626,20,0.37740384615384615,8437,0.3714590494251511,1.7789879531376862,92,0.782608695652174,3.6797906090989736
settings_value_shuffle,shuffled,7,50,0.8824473420260782,0.08573248295476225,10.293033767512739,0.1308875598797941,9.076691253802467,0.20807350526539706,0.7691686731152009,50,0.24759615384615385,8437,0.22709493895934574,2.764627527946715,92,0.782608695652174,9.148582308475113
settings_value_shuffle,shuffled,8,20,0.961283851554664,0.2150502918896073,4.470042068336852,0.061387102559503984,4.257026240002064,0.09075565288834901,0.5944202520088259,20,0.37740384615384615,8437,0.3714590494251511,1.7598121391110508,92,0.782608695652174,3.6417851758838746
settings_value_shuffle,shuffled,8,50,0.8750250752256771,0.08291484571968619,10.553297996644803,0.13375444621611676,9.275501913566037,0.2123352432288589,0.774904530970603,50,0.24759615384615385,8437,0.23053217968472206,2.911988195117329,92,0.782608695652174,9.460266566269707
settings_value_shuffle,shuffled,9,20,0.9197592778335005,0.18487809316400117,4.974950044609141,0.0678505364409915,4.705247551756268,0.10226594496362904,0.6187893655164259,20,0.33533653846153844,8437,0.3292639563826005,1.8170107593681024,92,0.782608695652174,4.236806499004225
settings_value_shuffle,shuffled,9,50,0.8840521564694083,0.07919908661592963,11.162403434733493,0.14039055780319198,9.73569794791018,0.22296369226249396,0.7798537409872204,50,0.23677884615384615,8437,0.2280431432973806,3.0236555225855484,92,0.782608695652174,9.905298428372022
