left,right,occurrence_settings,aligned_settings,fixed_scale_balanced,subset_scale_balanced,augmented_descriptors_balanced
l310-s5-chatterjee-2007,l271-s15-sun-2004,0.7534843205574913,0.8927603561749903,0.6589222731699782,0.6585264244108586,0.6428614706532187
l377-s4-wanasekara-2017,l297-s1-shen-2004,1.0,1.0,0.7779304029304029,0.7779304029304029,0.6309608515363704
l260-s2-haggenmueller-2006,l308-s3-demetrio-2013,0.7752613240418118,1.0,0.4103995117795961,0.40903521294250095,0.4043938868234174
l203-s17-ma-2009,l308-s3-demetrio-2013,0.8702090592334495,0.8702090592334495,0.7024782969028945,0.7008079103537088,0.6813421738403987
l386-s54-jimenez-2019,e108-s10-huang-2016,0.7708378702090593,0.6437180603948897,0.5753470473277467,0.5647249970446224,0.5383778819702519
l154-s3-eitan-2005,l285-s3-pham-2012,1.0,1.0,0.8433328059892659,0.839486709893012,0.801878095807665
l378-s1-sotta-2017,e139-s6-hassinger-2016,1.0,1.0,0.6927083333333334,0.6927083333333334,0.5881859161367712
l191-s2-xie-2004,l217-s6-ash-2002,1.0,1.0,0.7176772216859729,0.7152046209367252,0.6962918890022998
l182-s7-hoepfner-2017,l229-s7-bao-2011,0.7812655550024888,0.7182288037166086,0.4660210085355744,0.46551487918584555,0.4305148210556456
l240-s6-hong-2005,l376-s6-carroll-2017,1.0,1.0,0.8566561735925144,0.8415992479326553,0.8373767149414454
l120-s11-murugaraj-2005,l316-s5-chandrasekaran-2013,1.0,1.0,0.9969951923076923,0.9792028660093662,0.9012362901318512
l297-s2-shen-2004,l278-s1-choi-2001,0.9375,0.814453125,0.7558035714285714,0.7558035714285714,0.6033749326192639
l376-s6-carroll-2017,l289-s1-motaung-2012,0.9538327526132404,0.9559233449477352,0.8445783257244677,0.8445803331018837,0.732734790619838
l378-s1-sotta-2017,l383-s1-sadeghi-2017,1.0,1.0,0.5799448574296644,0.5799448574296644,0.4920141380955687
l225-s1-ma-2007,l154-s3-eitan-2005,1.0,1.0,0.9285714285714286,0.9285714285714286,0.776142789762121
l258-s4-du-2004,l297-s1-shen-2004,1.0,1.0,0.7827380952380952,0.7827380952380952,0.6303094564287877
l258-s4-du-2004,l324-s6-zhu-2017,1.0,1.0,0.8250503783759527,0.8135201893715438,0.7601718810563587
l171-s15-rittigstein-2006,l236-s9-fukushima-2012,0.9114349065568578,0.9248458858214956,0.7130182474555824,0.7044906112125143,0.670866719058868
l261-s2-wang-2016,e108-s10-huang-2016,0.8808636948947128,0.8291069448843839,0.5900225009603962,0.5890042956577091,0.6134317587690347
l142-s2-gao-2014,l297-s1-shen-2004,0.7986262340301975,0.7771994773519163,0.7526868615378524,0.7526891426485525,0.6339262345143506
e116-s21-prasad-2018,l324-s5-zhu-2017,0.8181818181818182,0.8,0.6708719986247872,0.6638032445752253,0.6152104770026504
l297-s1-shen-2004,l306-s3-jiang-2008,0.8888888888888888,0.8888888888888888,0.7597222222222222,0.7597222222222222,0.6154822145358271
l229-s2-bao-2011,l146-s4-tao-2011,1.0,1.0,0.783405172413793,0.7782176401108628,0.7474378181079259
l111-s3-singha-2009,l306-s2-jiang-2008,0.9545454545454546,0.8706050047513462,0.7396326748827016,0.7389680256284787,0.728321795939041
l375-s1-rishi-2018,l297-s2-shen-2004,1.0,1.0,0.8907312925170069,0.8907312925170069,0.7443076498645018
