pair,mask,policy,original_lower,original_upper,lower,upper,reported,interval_contains_original_interval,width_shrank,common_reported_fraction,structural_difference_fraction,excluded_weight,sparse_zero
255,article_block,fixed_schema,0.37990820155454297,0.95683127847762,0.07692307692307693,1.0,1.0,True,False,0.0,0.07692307692307693,95.0,False
256,unilateral,active,1.0,1.0,0.6842105263157895,1.0,1.0,True,False,0.0,0.6842105263157895,0.0,False
256,bilateral,active,1.0,1.0,0.4473684210526316,1.0,1.0,True,False,0.0,0.4473684210526316,0.0,False
256,article_block,active,1.0,1.0,0.47368421052631576,1.0,1.0,True,False,0.0,0.47368421052631576,0.0,False
256,unilateral,fixed_schema,0.7037037037037037,1.0,0.48148148148148145,1.0,1.0,True,False,0.0,0.48148148148148145,67.0,False
256,bilateral,fixed_schema,0.7037037037037037,1.0,0.3148148148148148,1.0,1.0,True,False,0.0,0.3148148148148148,67.0,False
256,article_block,fixed_schema,0.7037037037037037,1.0,0.3333333333333333,1.0,1.0,True,False,0.0,0.3333333333333333,67.0,False
257,unilateral,active,0.8006968641114982,0.9506968641114982,0.45,1.0,1.0,True,False,0.05,0.4,0.0,False
257,bilateral,active,0.8006968641114982,0.9506968641114982,0.4452187379016648,0.9452187379016647,0.8904374758033295,False,False,0.1111111111111111,0.3888888888888889,2.0,False
257,article_block,active,0.8006968641114982,0.9506968641114982,0.5789473684210527,1.0,1.0,True,False,0.05263157894736842,0.5263157894736842,1.0,False
257,unilateral,fixed_schema,0.5004355400696864,0.9691855400696864,0.28125,1.0,1.0,True,False,0.03125,0.25,89.0,False
257,bilateral,fixed_schema,0.5004355400696864,0.9691855400696864,0.25043554006968644,0.9691855400696864,0.8904374758033295,True,False,0.0625,0.21875,89.0,False
257,article_block,fixed_schema,0.5004355400696864,0.9691855400696864,0.34375,1.0,1.0,True,False,0.03125,0.3125,89.0,False
258,unilateral,active,1.0,1.0,0.75,1.0,1.0,True,False,0.0,0.75,0.0,False
258,bilateral,active,1.0,1.0,0.0,1.0,,True,False,0.0,0.0,0.0,False
258,article_block,active,1.0,1.0,0.75,1.0,1.0,True,False,0.0,0.75,0.0,False
258,unilateral,fixed_schema,0.5,1.0,0.375,1.0,1.0,True,False,0.0,0.375,113.0,False
258,bilateral,fixed_schema,0.5,1.0,0.0,1.0,,True,False,0.0,0.0,113.0,False
258,article_block,fixed_schema,0.5,1.0,0.375,1.0,1.0,True,False,0.0,0.375,113.0,False
259,unilateral,active,0.8963815789473685,0.9490131578947368,0.5526315789473685,1.0,1.0,True,False,0.02631578947368421,0.5263157894736842,0.0,False
259,bilateral,active,0.8963815789473685,0.9490131578947368,0.5,1.0,1.0,True,False,0.0,0.5,4.0,False
259,article_block,active,0.8963815789473685,0.9490131578947368,0.3939393939393939,1.0,1.0,True,False,0.0,0.3939393939393939,5.0,False
259,unilateral,fixed_schema,0.5975877192982456,0.9660087719298246,0.3684210526315789,1.0,1.0,True,False,0.017543859649122806,0.3508771929824561,64.0,False
259,bilateral,fixed_schema,0.5975877192982456,0.9660087719298246,0.2982456140350877,1.0,1.0,True,False,0.0,0.2982456140350877,64.0,False
259,article_block,fixed_schema,0.5975877192982456,0.9660087719298246,0.22807017543859648,1.0,1.0,True,False,0.0,0.22807017543859648,64.0,False
260,unilateral,active,0.7663182346109175,0.9663182346109175,0.6996515679442509,0.9663182346109175,0.9540703199239785,True,False,0.13333333333333333,0.6,0.0,False
260,bilateral,active,0.7663182346109175,0.9663182346109175,0.408615774469433,0.9540703199239785,0.8989547038327526,False,False,0.09090909090909091,0.36363636363636365,4.0,False
260,article_block,active,0.7663182346109175,0.9663182346109175,0.46153846153846156,1.0,1.0,True,False,0.0,0.46153846153846156,2.0,False
260,unilateral,fixed_schema,0.33808157409305184,0.9851403976224636,0.3086698093871695,0.9851403976224636,0.9540703199239785,True,False,0.058823529411764705,0.2647058823529412,87.0,False
260,bilateral,fixed_schema,0.33808157409305184,0.9851403976224636,0.13219922115187538,0.9851403976224636,0.8989547038327526,True,False,0.029411764705882353,0.11764705882352941,87.0,False
260,article_block,fixed_schema,0.33808157409305184,0.9851403976224636,0.17647058823529413,1.0,1.0,True,False,0.0,0.17647058823529413,87.0,False
261,unilateral,active,0.6872618140243902,0.8122618140243902,0.6247618140243902,0.8747618140243902,0.8330157520325203,True,False,0.3125,0.4375,0.0,False
261,bilateral,active,0.6872618140243902,0.8122618140243902,0.4282992160278746,0.8568706445993032,0.7495236280487805,True,False,0.35714285714285715,0.21428571428571427,2.0,False
261,article_block,active,0.6872618140243902,0.8122618140243902,0.36890243902439024,0.8689024390243902,0.7378048780487805,True,False,0.25,0.25,0.0,False
261,unilateral,fixed_schema,0.39272103658536583,0.8927210365853658,0.35700675087108014,0.9284353222996515,0.8330157520325203,True,False,0.17857142857142858,0.25,93.0,False
261,bilateral,fixed_schema,0.39272103658536583,0.8927210365853658,0.2141496080139373,0.9284353222996515,0.7495236280487805,True,False,0.17857142857142858,0.10714285714285714,93.0,False
261,article_block,fixed_schema,0.39272103658536583,0.8927210365853658,0.21080139372822299,0.9250871080139372,0.7378048780487805,True,False,0.14285714285714285,0.14285714285714285,93.0,False
262,unilateral,active,0.625,1.0,0.375,1.0,1.0,True,False,0.0,0.375,0.0,False
262,bilateral,active,0.625,1.0,0.25,1.0,1.0,True,False,0.0,0.25,0.0,False
262,article_block,active,0.625,1.0,0.3333333333333333,1.0,1.0,True,False,0.0,0.3333333333333333,2.0,False
262,unilateral,fixed_schema,0.22727272727272727,1.0,0.13636363636363635,1.0,1.0,True,False,0.0,0.13636363636363635,99.0,False
262,bilateral,fixed_schema,0.22727272727272727,1.0,0.09090909090909091,1.0,1.0,True,False,0.0,0.09090909090909091,99.0,False
262,article_block,fixed_schema,0.22727272727272727,1.0,0.09090909090909091,1.0,1.0,True,False,0.0,0.09090909090909091,99.0,False
263,unilateral,active,1.0,1.0,0.6666666666666666,1.0,1.0,True,False,0.0,0.6666666666666666,0.0,False
263,bilateral,active,1.0,1.0,0.4166666666666667,1.0,1.0,True,False,0.0,0.4166666666666667,0.0,False
263,article_block,active,1.0,1.0,0.6666666666666666,1.0,1.0,True,False,0.0,0.6666666666666666,0.0,False
263,unilateral,fixed_schema,0.5,1.0,0.3333333333333333,1.0,1.0,True,False,0.0,0.3333333333333333,97.0,False
263,bilateral,fixed_schema,0.5,1.0,0.20833333333333334,1.0,1.0,True,False,0.0,0.20833333333333334,97.0,False
263,article_block,fixed_schema,0.5,1.0,0.3333333333333333,1.0,1.0,True,False,0.0,0.3333333333333333,97.0,False
264,unilateral,active,0.84,1.0,0.48,1.0,1.0,True,False,0.0,0.48,0.0,False
264,bilateral,active,0.84,1.0,0.5217391304347826,1.0,1.0,True,False,0.0,0.5217391304347826,2.0,False
264,article_block,active,0.84,1.0,0.30434782608695654,1.0,1.0,True,False,0.0,0.30434782608695654,2.0,False
