record_id,paper_group,method_id,process_method,display_label,view,cluster,pcoa1,pcoa2
l209-s12-ash-2001,article:l209,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.46077387583684837,-0.13583416516732197
l397-s1-tuncer-2007,article:l397,M1,Solution Processing,Solution processing,method_blind_process,1,0.20835981550777966,0.045999691669048784
l102-s8-hu-2007,article:l102,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3117139716836915,-0.2924036248247698
l294-s4-sarwar-2007,article:l294,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.25397060464913396,0.04800796274227242
l278-s1-choi-2001,article:l278,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.20150664700046692,-0.13317425707053984
l287-s4-jang-2008,article:l287,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.2637997119795712,0.26396717896984373
l217-s6-ash-2002,article:l217,M1,Solution Processing,Solution processing,method_blind_process,1,0.09091958288884015,0.26578249489800293
l316-s5-chandrasekaran-2013,article:l316,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.16460931622726818,0.3922671341573584
e108-s10-huang-2016,article:e108,M1,Solution Processing,Solution processing,method_blind_process,1,0.1377541803432217,-0.19897361151052181
l212-s5-ghanbari-2012,article:l212,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.3265617783460828,-0.24494516552503665
l324-s6-zhu-2017,article:l324,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.12203971033025446,-0.23600749206424457
l316-s10-chandrasekaran-2013,article:l316,M1,Solution Processing,Solution processing,method_blind_process,1,-0.12660083031091288,0.4010398311508071
l388-s1-benes-2018,article:l388,M1,Solution Processing,Solution processing,method_blind_process,1,-0.004052653237276899,0.21322977001150342
l318-s4-patsidis-2014,article:l318,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.19822192055712975,0.3453979396539855
l285-s3-pham-2012,article:l285,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,3,-0.032201969113718934,-0.31896023664265183
l285-s1-pham-2012,article:l285,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,3,-0.03220196911371899,-0.3189602366426518
l276-s3-huang-2009,article:l276,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.43706181307367337,-0.13012179943589297
l255-s9-logakis-2009,article:l255,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3405975098673799,-0.13471949508328604
l260-s2-haggenmueller-2006,article:l260,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.0931648666332039,-0.09699537596679066
l287-s2-jang-2008,article:l287,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.26379971197957114,0.2639671789698438
l282-s2-cui-2008,article:l282,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.19975140677365458,-0.0349259645437518
l308-s3-demetrio-2013,article:l308,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.08618342141981165,-0.10072286089515593
l259-s3-chen-2017,article:l259,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.1319603062692327,0.15632984389932808
l260-s5-haggenmueller-2006,article:l260,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.09316486663320389,-0.09699537596679074
