sample_id,article_group,view,mask_fraction,replicate,distance_threshold,rule,eligible_pairs,reference_close_pairs,accepted_pairs,contradictory_pairs,retained_reference_close_pairs,point_defined_pairs
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.2,coverage_0.75,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.3,reported_point,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.3,interval_upper,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.3,coverage_0.5,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.3,coverage_0.75,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.4,reported_point,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.4,interval_upper,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.4,coverage_0.5,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.4,coverage_0.75,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.5,reported_point,119,12,12,0,12,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.5,interval_upper,119,12,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.5,coverage_0.5,119,12,10,0,10,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.5,coverage_0.75,119,12,0,0,0,119
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.1,reported_point,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.1,interval_upper,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.1,coverage_0.5,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.1,coverage_0.75,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.2,reported_point,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.2,interval_upper,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.2,coverage_0.5,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.2,coverage_0.75,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.3,reported_point,117,8,8,0,8,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.3,interval_upper,117,8,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.3,coverage_0.5,117,8,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.3,coverage_0.75,117,8,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.4,reported_point,117,8,8,0,8,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.4,interval_upper,117,8,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.4,coverage_0.5,117,8,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.4,coverage_0.75,117,8,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.5,reported_point,117,11,11,0,11,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.5,interval_upper,117,11,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.5,coverage_0.5,117,11,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,material_identity,0.0,0,0.5,coverage_0.75,117,11,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.1,reported_point,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.1,interval_upper,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.1,coverage_0.5,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.1,coverage_0.75,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.2,reported_point,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.2,interval_upper,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.2,coverage_0.5,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.2,coverage_0.75,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.3,reported_point,117,3,3,0,3,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.3,interval_upper,117,3,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.3,coverage_0.5,117,3,3,0,3,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.3,coverage_0.75,117,3,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.4,reported_point,117,3,3,0,3,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.4,interval_upper,117,3,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.4,coverage_0.5,117,3,3,0,3,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.4,coverage_0.75,117,3,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.5,reported_point,117,3,3,0,3,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.5,interval_upper,117,3,3,0,3,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.5,coverage_0.5,117,3,3,0,3,117
l316-s5-chandrasekaran-2013,article:l316,experimental_protocol,0.0,0,0.5,coverage_0.75,117,3,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.1,reported_point,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.1,interval_upper,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.1,coverage_0.5,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.1,coverage_0.75,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.2,reported_point,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.2,interval_upper,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.2,coverage_0.5,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.2,coverage_0.75,117,0,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.3,reported_point,117,2,2,0,2,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.3,interval_upper,117,2,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.3,coverage_0.5,117,2,2,0,2,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.3,coverage_0.75,117,2,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.4,reported_point,117,3,3,0,3,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.4,interval_upper,117,3,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.4,coverage_0.5,117,3,2,0,2,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.4,coverage_0.75,117,3,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.5,reported_point,117,8,8,0,8,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.5,interval_upper,117,8,0,0,0,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.5,coverage_0.5,117,8,7,0,7,117
l316-s5-chandrasekaran-2013,article:l316,balanced_instance,0.0,0,0.5,coverage_0.75,117,8,0,0,0,117
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.1,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.1,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.1,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.1,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.2,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.2,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.2,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.2,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.3,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.3,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.3,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.3,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.4,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.4,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.4,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.4,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.5,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.5,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.5,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,material_identity,0.0,0,0.5,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.1,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.1,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.1,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.1,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.2,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.2,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.2,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.2,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.3,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.3,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.3,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.3,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.4,reported_point,119,1,1,0,1,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.4,interval_upper,119,1,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.4,coverage_0.5,119,1,1,0,1,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.4,coverage_0.75,119,1,0,0,0,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.5,reported_point,119,5,5,0,5,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.5,interval_upper,119,5,1,0,1,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.5,coverage_0.5,119,5,5,0,5,119
e108-s10-huang-2016,article:e108,experimental_protocol,0.0,0,0.5,coverage_0.75,119,5,0,0,0,119
e108-s10-huang-2016,article:e108,balanced_instance,0.0,0,0.1,reported_point,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,balanced_instance,0.0,0,0.1,interval_upper,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,balanced_instance,0.0,0,0.1,coverage_0.5,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,balanced_instance,0.0,0,0.1,coverage_0.75,119,0,0,0,0,119
e108-s10-huang-2016,article:e108,balanced_instance,0.0,0,0.2,reported_point,119,0,0,0,0,119
