sample_id,article_group,mask_fraction,replicate,reported_setting_count,masked_keys
l196-s4-petersson-2006,article:l196,0.5,2,11,"[""additive#0:additive"", ""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:time"", ""mixing#1:time"", ""molding#0:time""]"
l196-s4-petersson-2006,article:l196,0.75,0,11,"[""additive#0:additive"", ""heating#0:ambient condition"", ""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixer"", ""mixing#1:mixing method"", ""mixing#1:time""]"
l196-s4-petersson-2006,article:l196,0.75,1,11,"[""additive#0:additive"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time"", ""molding#0:time""]"
l196-s4-petersson-2006,article:l196,0.75,2,11,"[""heating#0:ambient condition"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time"", ""molding#0:time""]"
l385-s3-bailey-2019,article:l385,0.25,0,12,"[""drying evaporation#0:ambient condition"", ""mixing#1:mixing method"", ""mixing#1:time""]"
l385-s3-bailey-2019,article:l385,0.25,1,12,"[""mixing#1:mixing method"", ""mixing#1:time"", ""solvent#1:solvent name""]"
l385-s3-bailey-2019,article:l385,0.25,2,12,"[""mixing#1:time"", ""solvent#0:solvent name"", ""solvent#2:solvent name""]"
l385-s3-bailey-2019,article:l385,0.5,0,12,"[""additive#0:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""mixing#0:mixing method"", ""mixing#1:time"", ""solvent#0:solvent name""]"
l385-s3-bailey-2019,article:l385,0.5,1,12,"[""additive#0:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#1:mixing method"", ""solvent#0:solvent name"", ""solvent#2:solvent name""]"
l385-s3-bailey-2019,article:l385,0.5,2,12,"[""additive#0:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""mixing#1:time"", ""solvent#0:solvent name"", ""solvent#2:solvent name""]"
l385-s3-bailey-2019,article:l385,0.75,0,12,"[""additive#0:additive"", ""additive#1:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""mixing#0:mixing method"", ""mixing#1:time"", ""solvent#0:solvent name"", ""solvent#1:solvent name"", ""solvent#2:solvent name""]"
