view,mask_fraction,distance_threshold,rule,eligible_pairs,accepted_pairs,contradictory_pairs,reference_close_pairs,retained_reference_close_pairs,n_article_groups,n_query_runs,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,contradiction_fraction,contradiction_fraction_ci_low,contradiction_fraction_ci_high,reference_close_recall,reference_close_recall_ci_low,reference_close_recall_ci_high
balanced_instance,0.75,0.5,coverage_0.75,42666,0,0,1950,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.5,interval_upper,42666,6,0,1950,6,93,360,0.0001406271972999578,0.0,0.0003635306092773012,0.0,0.0,0.0,0.003076923076923077,0.0,0.008488964346349746
balanced_instance,0.75,0.5,reported_point,42666,1674,407,1950,1267,93,360,0.03923498804668823,0.03349023265865982,0.04564070005524833,0.24313022700119474,0.1987033355244489,0.29126371985657756,0.6497435897435897,0.603545024349305,0.6942111278745485
experimental_protocol,0.25,0.1,coverage_0.5,42666,88,47,48,41,93,360,0.002062532227066048,0.00103520693350296,0.0032352895677615645,0.5340909090909091,0.31683864915572235,0.7407407407407407,0.8541666666666666,0.7,1.0
experimental_protocol,0.25,0.1,coverage_0.75,42666,6,2,48,4,93,360,0.0001406271972999578,0.0,0.0003877659832291212,0.3333333333333333,0.0,1.0,0.08333333333333333,0.0,0.2962962962962963
experimental_protocol,0.25,0.1,interval_upper,42666,0,0,48,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.25,0.1,reported_point,42666,88,47,48,41,93,360,0.002062532227066048,0.00103520693350296,0.0032352895677615645,0.5340909090909091,0.31683864915572235,0.7407407407407407,0.8541666666666666,0.7,1.0
experimental_protocol,0.25,0.2,coverage_0.5,42666,142,58,108,84,93,360,0.003328177002765668,0.001987849548825159,0.00490248681242447,0.4084507042253521,0.2533025210084034,0.5816212765957446,0.7777777777777778,0.6341260162601626,0.8913085608358611
experimental_protocol,0.25,0.2,coverage_0.75,42666,12,5,108,7,93,360,0.0002812543945999156,4.647799635939479e-05,0.000581816009484979,0.4166666666666667,0.0,0.9399999999999977,0.06481481481481481,0.0,0.14705882352941177
experimental_protocol,0.25,0.2,interval_upper,42666,0,0,108,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.25,0.2,reported_point,42666,142,58,108,84,93,360,0.003328177002765668,0.001987849548825159,0.00490248681242447,0.4084507042253521,0.2533025210084034,0.5816212765957446,0.7777777777777778,0.6341260162601626,0.8913085608358611
experimental_protocol,0.25,0.3,coverage_0.5,42666,317,82,264,235,93,360,0.007429803590681104,0.004844888368832497,0.010405230665674163,0.2586750788643533,0.11894314537869974,0.4050090668154554,0.8901515151515151,0.8332854406130269,0.9497716894977168
