pair,left,right,replicate,mask,eligible_joint_reported_keys,masked_left_keys,masked_right_keys,bilateral_keys_match
11,e410-s2-prasad-2021,l294-s6-sarwar-2007,0,article_block,"[""drying evaporation#0:temperature"", ""mixing#0:mixing method""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""extrusion output#0:equipment type"", ""extrusion output#0:extruder"", ""extrusion output#0:rotation mode"", ""extrusion output#0:screw channel diameter"", ""extrusion output#0:screw diameter""]","[""drying evaporation#0:temperature"", ""drying evaporation#1:temperature"", ""drying evaporation#1:time"", ""mixing#1:time"", ""mixing#2:time""]",
12,l171-s15-rittigstein-2006,l287-s2-jang-2008,0,unilateral,"[""mixing#0:mixing method"", ""solvent#0:solvent name""]","[""cooling#0:temperature"", ""cooling#1:temperature"", ""cooling#1:time"", ""drying evaporation#0:time"", ""mixing#0:mixer"", ""mixing#0:mixing method"", ""solvent#0:solvent name""]",[],
12,l171-s15-rittigstein-2006,l287-s2-jang-2008,0,bilateral,"[""mixing#0:mixing method"", ""solvent#0:solvent name""]","[""mixing#0:mixing method"", ""solvent#0:solvent name""]","[""mixing#0:mixing method"", ""solvent#0:solvent name""]",True
12,l171-s15-rittigstein-2006,l287-s2-jang-2008,0,article_block,"[""mixing#0:mixing method"", ""solvent#0:solvent name""]","[""cooling#0:temperature"", ""cooling#0:time"", ""cooling#1:temperature"", ""cooling#1:time"", ""drying evaporation#0:time"", ""mixing#0:time"", ""solvent#0:solvent name""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:temperature"", ""drying evaporation#1:time"", ""heating#0:ambient condition"", ""heating#0:temperature"", ""heating#0:time"", ""heating#1:temperature"", ""heating#1:time"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#1:time"", ""mixing#2:mixing method"", ""mixing#2:temperature"", ""mixing#2:time"", ""solvent#0:solvent name""]",
13,l314-s4-diezpascual-2011,l266-s8-kalaitzidou-2007,0,unilateral,"[""mixing#0:time""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""mixing#1:time"", ""mixing#2:mixing method"", ""mixing#2:time"", ""molding#0:temperature""]",[],
13,l314-s4-diezpascual-2011,l266-s8-kalaitzidou-2007,0,bilateral,"[""mixing#0:time""]","[""mixing#0:time""]","[""mixing#0:time""]",True
13,l314-s4-diezpascual-2011,l266-s8-kalaitzidou-2007,0,article_block,"[""mixing#0:time""]","[""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#2:mixing method"", ""molding#0:temperature""]","[""extrusion#0:rotation mode"", ""mixing#0:mixer""]",
14,l383-s1-sadeghi-2017,l136-s5-vescovo-2010,0,unilateral,"[""mixing#0:mixing method""]","[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:rotational frequency""]",[],
14,l383-s1-sadeghi-2017,l136-s5-vescovo-2010,0,bilateral,"[""mixing#0:mixing method""]","[""mixing#0:mixing method""]","[""mixing#0:mixing method""]",True
14,l383-s1-sadeghi-2017,l136-s5-vescovo-2010,0,article_block,"[""mixing#0:mixing method""]","[""mixing#0:rotational frequency"", ""mixing#0:time""]",[],
15,l229-s7-bao-2011,l260-s5-haggenmueller-2006,0,unilateral,"[""mixing#0:mixing method"", ""mixing#1:mixing method""]","[""heating#0:ambient condition"", ""heating#0:temperature"", ""heating#3:temperature"", ""mixing#0:mixing method"", ""mixing#1:time"", ""mixing#2:temperature"", ""mixing#3:mixing method"", ""mixing#3:time""]",[],
15,l229-s7-bao-2011,l260-s5-haggenmueller-2006,0,bilateral,"[""mixing#0:mixing method"", ""mixing#1:mixing method""]","[""mixing#1:mixing method""]","[""mixing#1:mixing method""]",True
15,l229-s7-bao-2011,l260-s5-haggenmueller-2006,0,article_block,"[""mixing#0:mixing method"", ""mixing#1:mixing method""]","[""heating#0:temperature"", ""heating#1:temperature"", ""heating#2:temperature"", ""heating#2:time"", ""heating#3:temperature"", ""heating#3:time"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#1:time"", ""mixing#2:mixing method"", ""mixing#2:temperature"", ""mixing#3:mixing method"", ""mixing#3:time""]","[""mixing#0:mixer"", ""mixing#0:time""]",
16,l171-s15-rittigstein-2006,l392-s1-wang-2020,0,unilateral,"[""drying evaporation#0:time""]","[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time"", ""solvent#0:solvent name""]",[],
16,l171-s15-rittigstein-2006,l392-s1-wang-2020,0,bilateral,"[""drying evaporation#0:time""]","[""drying evaporation#0:time""]","[""drying evaporation#0:time""]",True
16,l171-s15-rittigstein-2006,l392-s1-wang-2020,0,article_block,"[""drying evaporation#0:time""]","[""cooling#0:temperature"", ""cooling#0:time"", ""cooling#1:temperature"", ""cooling#1:time"", ""drying evaporation#0:time"", ""mixing#0:time"", ""solvent#0:solvent name""]","[""additive#0:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""heating#0:temperature"", ""heating#0:time"", ""heating#1:temperature"", ""heating#1:time"", ""heating#2:temperature""]",
17,l142-s2-gao-2014,l267-s3-kim-2006,0,unilateral,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time""]","[""drying evaporation#0:temperature"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:time"", ""heating#0:temperature"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#2:time""]",[],
17,l142-s2-gao-2014,l267-s3-kim-2006,0,bilateral,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time""]","[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method""]","[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method""]",True
17,l142-s2-gao-2014,l267-s3-kim-2006,0,article_block,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time""]","[""drying evaporation#0:temperature"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:temperature"", ""heating#0:temperature"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#2:mixing method"", ""mixing#3:mixing method""]","[""mixing#0:mixing method""]",
18,l180-s3-maillard-2012,l111-s4-singha-2009,0,unilateral,"[""mixing#0:mixing method""]","[""heating#0:ambient condition"", ""heating#0:pressure"", ""heating#0:temperature"", ""mixing#0:time"", ""molding#0:ambient condition"", ""molding#0:time""]",[],
18,l180-s3-maillard-2012,l111-s4-singha-2009,0,bilateral,"[""mixing#0:mixing method""]","[""mixing#0:mixing method""]","[""mixing#0:mixing method""]",True
18,l180-s3-maillard-2012,l111-s4-singha-2009,0,article_block,"[""mixing#0:mixing method""]","[""heating#0:ambient condition"", ""heating#0:pressure"", ""molding#0:ambient condition""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#1:temperature"", ""drying evaporation#2:ambient condition"", ""drying evaporation#2:temperature"", ""drying evaporation#3:ambient condition"", ""mixing#0:mixer"", ""mixing#1:rotational frequency"", ""mixing#2:mixer"", ""molding#1:temperature""]",
19,e410-s2-prasad-2021,l306-s3-jiang-2008,0,unilateral,"[""mixing#0:mixing method""]","[""extrusion output#0:extruder"", ""extrusion output#0:rotation mode"", ""mixing#0:mixing method""]",[],
19,e410-s2-prasad-2021,l306-s3-jiang-2008,0,bilateral,"[""mixing#0:mixing method""]","[""mixing#0:mixing method""]","[""mixing#0:mixing method""]",True
19,e410-s2-prasad-2021,l306-s3-jiang-2008,0,article_block,"[""mixing#0:mixing method""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""extrusion output#0:equipment type"", ""extrusion output#0:extruder"", ""extrusion output#0:rotation mode"", ""extrusion output#0:screw channel diameter"", ""extrusion output#0:screw diameter""]",[],
20,l229-s2-bao-2011,l146-s3-tao-2011,0,unilateral,[],"[""heating#0:temperature"", ""heating#2:time"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#1:time"", ""mixing#2:temperature""]",[],
20,l229-s2-bao-2011,l146-s3-tao-2011,0,bilateral,[],[],[],True
20,l229-s2-bao-2011,l146-s3-tao-2011,0,article_block,[],"[""heating#0:temperature"", ""heating#1:temperature"", ""heating#2:temperature"", ""heating#2:time"", ""heating#3:temperature"", ""heating#3:time"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#1:time"", ""mixing#2:mixing method"", ""mixing#2:temperature"", ""mixing#3:mixing method"", ""mixing#3:time""]","[""solvent#0:solvent name""]",
21,l396-s6-ghosh-2013,l310-s5-chatterjee-2007,0,unilateral,"[""heating#0:temperature"", ""mixing#0:mixer"", ""mixing#0:mixing method""]","[""extrusion#0:equipment type"", ""extrusion#0:extruder"", ""heating#0:temperature"", ""heating#1:ambient condition"", ""heating#1:temperature"", ""mixing#0:mixer"", ""mixing#0:mixing method""]",[],
21,l396-s6-ghosh-2013,l310-s5-chatterjee-2007,0,bilateral,"[""heating#0:temperature"", ""mixing#0:mixer"", ""mixing#0:mixing method""]","[""mixing#0:mixer"", ""mixing#0:mixing method""]","[""mixing#0:mixer"", ""mixing#0:mixing method""]",True
21,l396-s6-ghosh-2013,l310-s5-chatterjee-2007,0,article_block,"[""heating#0:temperature"", ""mixing#0:mixer"", ""mixing#0:mixing method""]","[""extrusion#0:equipment type"", ""mixing#0:mixer"", ""mixing#0:mixing method""]","[""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:time"", ""mixing#1:time"", ""molding#0:time""]",
22,l380-s1-zhao-2017,l266-s8-kalaitzidou-2007,0,unilateral,"[""mixing#0:mixer"", ""mixing#0:temperature"", ""mixing#0:time""]","[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:temperature""]",[],
22,l380-s1-zhao-2017,l266-s8-kalaitzidou-2007,0,bilateral,"[""mixing#0:mixer"", ""mixing#0:temperature"", ""mixing#0:time""]","[""mixing#0:time""]","[""mixing#0:time""]",True
22,l380-s1-zhao-2017,l266-s8-kalaitzidou-2007,0,article_block,"[""mixing#0:mixer"", ""mixing#0:temperature"", ""mixing#0:time""]","[""mixing#0:mixer""]","[""extrusion#0:rotation mode"", ""mixing#0:mixer""]",
23,l279-s1-motaung-2012,l285-s3-pham-2012,0,unilateral,"[""molding#0:temperature"", ""molding#0:time""]","[""mixing#0:rotational frequency"", ""mixing#0:temperature"", ""mixing#0:time"", ""molding#0:temperature""]",[],
23,l279-s1-motaung-2012,l285-s3-pham-2012,0,bilateral,"[""molding#0:temperature"", ""molding#0:time""]","[""molding#0:time""]","[""molding#0:time""]",True
23,l279-s1-motaung-2012,l285-s3-pham-2012,0,article_block,"[""molding#0:temperature"", ""molding#0:time""]","[""mixing#0:mixer"", ""mixing#0:time"", ""molding#0:time""]","[""molding#0:pressure"", ""molding#0:time""]",
24,l225-s1-ma-2007,l118-s1-fidelus-2005,0,unilateral,"[""heating#0:temperature"", ""heating#0:time""]","[""heating#0:temperature"", ""heating#0:time""]",[],
24,l225-s1-ma-2007,l118-s1-fidelus-2005,0,bilateral,"[""heating#0:temperature"", ""heating#0:time""]","[""heating#0:temperature""]","[""heating#0:temperature""]",True
24,l225-s1-ma-2007,l118-s1-fidelus-2005,0,article_block,"[""heating#0:temperature"", ""heating#0:time""]","[""heating#0:temperature"", ""heating#0:time"", ""molding#0:temperature"", ""molding#0:time""]","[""drying evaporation#0:temperature"", ""drying evaporation#1:ambient condition"", ""heating#0:temperature""]",
25,l146-s3-tao-2011,l392-s1-wang-2020,0,unilateral,[],"[""solvent#0:solvent name""]",[],
25,l146-s3-tao-2011,l392-s1-wang-2020,0,bilateral,[],[],[],True
25,l146-s3-tao-2011,l392-s1-wang-2020,0,article_block,[],"[""solvent#0:solvent name""]","[""additive#0:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""heating#0:temperature"", ""heating#0:time"", ""heating#1:temperature"", ""heating#1:time"", ""heating#2:temperature""]",
26,l111-s3-singha-2009,l297-s1-shen-2004,0,unilateral,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#0:mixing method""]","[""additive#1:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#4:time"", ""mixing#0:mixer"", ""mixing#2:mixer"", ""molding#1:time""]",[],
26,l111-s3-singha-2009,l297-s1-shen-2004,0,bilateral,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#0:mixing method""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""mixing#0:mixing method""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""mixing#0:mixing method""]",True
26,l111-s3-singha-2009,l297-s1-shen-2004,0,article_block,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#0:mixing method""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#1:temperature"", ""drying evaporation#2:ambient condition"", ""drying evaporation#2:temperature"", ""drying evaporation#3:ambient condition"", ""mixing#0:mixer"", ""mixing#1:rotational frequency"", ""mixing#2:mixer"", ""molding#1:temperature""]","[""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""heating#0:temperature"", ""heating#0:time""]",
27,l209-s7-ash-2001,l318-s4-patsidis-2014,0,unilateral,[],"[""drying evaporation#0:time""]",[],
27,l209-s7-ash-2001,l318-s4-patsidis-2014,0,bilateral,[],[],[],True
27,l209-s7-ash-2001,l318-s4-patsidis-2014,0,article_block,[],"[""drying evaporation#0:time""]","[""mixing#0:mixing method"", ""mixing#1:mixing method""]",
28,l310-s5-chatterjee-2007,l316-s10-chandrasekaran-2013,0,unilateral,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:time"", ""molding#0:temperature""]",[],
28,l310-s5-chatterjee-2007,l316-s10-chandrasekaran-2013,0,bilateral,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]",True
28,l310-s5-chatterjee-2007,l316-s10-chandrasekaran-2013,0,article_block,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:time"", ""mixing#1:time"", ""molding#0:time""]","[""heating#0:time"", ""heating#2:time"", ""heating#3:time"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:rotational frequency"", ""mixing#1:time"", ""mixing#2:time""]",
29,l304-s3-stockelhuber-2011,l260-s5-haggenmueller-2006,0,unilateral,"[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time""]","[""mixing#0:mixer""]",[],
29,l304-s3-stockelhuber-2011,l260-s5-haggenmueller-2006,0,bilateral,"[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time""]",[],[],True
29,l304-s3-stockelhuber-2011,l260-s5-haggenmueller-2006,0,article_block,"[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time""]","[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time""]","[""mixing#0:mixer"", ""mixing#0:time""]",
30,l140-s9-gao-2012,l276-s3-huang-2009,0,unilateral,[],"[""mixing#1:mixer"", ""molding#0:time"", ""molding#1:temperature""]",[],
30,l140-s9-gao-2012,l276-s3-huang-2009,0,bilateral,[],[],[],True
30,l140-s9-gao-2012,l276-s3-huang-2009,0,article_block,[],"[""molding#0:temperature"", ""molding#1:temperature""]","[""extrusion#0:equipment type"", ""extrusion#0:rotation speed""]",
31,l225-s1-ma-2007,l376-s6-carroll-2017,0,unilateral,[],"[""molding#0:time""]",[],
31,l225-s1-ma-2007,l376-s6-carroll-2017,0,bilateral,[],[],[],True
31,l225-s1-ma-2007,l376-s6-carroll-2017,0,article_block,[],"[""heating#0:temperature"", ""heating#0:time"", ""molding#0:temperature"", ""molding#0:time""]","[""additive#0:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:pressure"", ""drying evaporation#2:ambient condition"", ""drying evaporation#2:pressure""]",
32,l325-s5-manafi-2015,l375-s1-rishi-2018,0,unilateral,"[""mixing#0:mixing method"", ""mixing#0:time""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method""]",[],
