config_id,profile,variant,process_lambda,clusters,process_positive_coverage_mean,positive_coassignment,composition_matched_expected,excess,component_equal_excess,source_matched_component_equal_excess,delta_vs_composition_same_k,mask_control_component_excess,delta_vs_mask_control,mrr,source_matched_delta_vs_composition_same_k,source_matched_mask_control_component_excess,source_matched_delta_vs_mask_control,mrr_delta_vs_composition,hit_at_10,recall_at_10,nonidentical_component_equal_excess,source_matched_nonidentical_component_equal_excess,largest_cluster_fraction,singleton_fraction
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,50,0.5397567749023438,0.8072965388213283,0.4738553366397222,0.33344120218160617,0.3826709013618578,0.20797162065477942,0.010166784324072586,0.39617312585854697,-0.013502224496689197,0.03943903052190308,0.008988691065650922,0.2329076840078802,-0.02493606335310078,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.39442128195352905,0.2455533588882475,0.2453728186144897,0.0026441036488630354
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,75,0.5397567749023438,0.7960710944808232,0.3669016192529898,0.42916947522783344,0.47573159407701043,0.3159349197535861,0.024506577403389462,0.4571706793971344,0.01856091467987603,0.03943903052190308,0.010784479537887137,0.30009471892332296,0.015840200830263163,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.4851348364605175,0.34950027366647807,0.08302485457429931,0.004230565838180857
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,100,0.5397567749023438,0.7885874649204865,0.32395635656150507,0.4646311083589814,0.49119149416352836,0.3434643617070271,-0.0052164550641755625,0.5189060086342396,-0.02771451447071127,0.03943903052190308,-0.01976301968927302,0.37327994112689433,-0.029815579419867233,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.4895081344623963,0.3530899878579981,0.08302485457429931,0.007403490216816499
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,125,0.5397567749023438,0.7773620205799813,0.2823984629503892,0.4949635576295921,0.4869100254229439,0.3457204974694557,-0.010315552968907127,0.5143399186307513,-0.02742989320780742,0.03943903052190308,-0.02024395805175233,0.3751967394659054,-0.029476241996449715,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.4432986116962823,0.31578151862160414,0.06980433632998413,0.01110523532522475
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,150,0.5397567749023438,0.7652011225444341,0.2474245723733005,0.5177765501711336,0.47244835476173036,0.35160671582171793,-0.014546504549775241,0.5096414009222813,-0.03719304616055091,0.03943903052190308,-0.015437528515490961,0.3627405822567549,-0.011133866435036943,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.3968890271473729,0.2941568759318026,0.06927551560021153,0.015864621893178214
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,200,0.5397567749023438,0.5884003741814781,0.1645515566929129,0.4238488174885652,0.46822892244162573,0.3665679921759776,0.012545640073834075,0.4510055247369096,0.017223397704716148,0.03943903052190308,0.01289663380876982,0.34201931967265153,0.02454867250332604,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.3525330037659293,0.27887875164514025,0.041248016922263354,0.021152829190904283
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,250,0.5397567749023438,0.4583723105706268,0.1324637724429198,0.325908538127707,0.4565615475679539,0.3685486932717657,0.0008526170612684347,0.4474091808841665,0.009152366683787438,0.03943903052190308,0.005070571189886408,0.35563703281196424,0.012911660459801466,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.32138209330608625,0.26404223846405783,0.041248016922263354,0.030671602326811213
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,300,0.5397567749023438,0.41253507951356405,0.11996877091513988,0.29256630859842414,0.44488986790282065,0.3617938845450388,0.00902167999266218,0.436701016810275,0.008188851092545635,0.03943903052190308,0.0060474636426153805,0.3557085929644257,0.006085291580613106,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.29813203536543464,0.2477689058126833,0.04019037546271814,0.04336329984135378
THERM_ONLY__optimistic__L010,THERM_ONLY,optimistic,0.1,400,0.5397567749023438,0.21141253507951357,0.1020799364354859,0.10933259864402768,0.4136557169312554,0.3468440534496777,0.0025430850078343448,0.36721526370687324,0.04644045322438217,0.03943903052190308,0.004794954613066893,0.2951514840946607,0.05169256935501704,-0.00338251584136514,0.028985507246376812,0.016304347826086956,0.24485596326446815,0.21663513127055464,0.04019037546271814,0.07932310946589106
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,25,0.5397567749023438,0.8203928905519177,0.5493045136765082,0.27108837687540943,0.3451381542526236,0.18443677231003944,-0.010333699632512905,0.34106124008860617,0.004076914164017453,0.04120938798958877,0.0023055736424973106,0.18013524538247452,0.004301526927564914,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.36659798603929544,0.2316527730734642,0.2527763088313062,0.0010576414595452142
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,50,0.5397567749023438,0.8091674462114126,0.46332319846174347,0.3458442477496691,0.4321848471550808,0.2582678853562305,0.05968073011729563,0.39881375163567473,0.03337109551940609,0.04120938798958877,0.05928495576710202,0.23302270237408204,0.02524518298214848,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.4600439697671088,0.3048949523579594,0.24167107350608144,0.0026441036488630354
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,75,0.5397567749023438,0.7960710944808232,0.3642109874117932,0.43186010706903005,0.5168650292219654,0.35847500748297767,0.06564001254834445,0.5032501244211884,0.013614904800776984,0.04120938798958877,0.05332456726727869,0.316551989128076,0.0419230183549017,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.5431331402562304,0.40805312210037054,0.08302485457429931,0.0037017451084082496
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,100,0.5397567749023438,0.7867165575304023,0.2982996037039138,0.4884169538264885,0.5317054560987913,0.37351569455610967,0.03529750687108735,0.5480691378340267,-0.01636368173523539,0.04120938798958877,0.010288313159809548,0.3681285656628289,0.005387128893280746,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.5136197552688997,0.3815176948759247,0.07139079851930195,0.006345848757271285
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,125,0.5397567749023438,0.7811038353601497,0.2771740380286383,0.5039297973315113,0.5076463699091786,0.36293783941165525,0.010420791517327499,0.5555872921357254,-0.04794092222654689,0.04120938798958877,-0.0030266161095527933,0.3957695484318247,-0.032831709020169464,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.47042183848947405,0.3381899132503751,0.06980433632998413,0.011634056054997356
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,150,0.5397567749023438,0.7652011225444341,0.24955610663867245,0.5156450159057616,0.47040901981606126,0.3502971934570887,-0.016585839495444343,0.5397899985260752,-0.06938097871001397,0.04120938798958877,-0.016747050880120185,0.3845288229596849,-0.03423162950259617,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.3949212186964677,0.2925070507991498,0.06927551560021153,0.015335801163405606
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,200,0.5397567749023438,0.5537885874649204,0.16545073091278975,0.3883378565521307,0.4624313331745663,0.3630166419836696,0.0067480508067746525,0.49075697061767004,-0.028325637443103735,0.04120938798958877,0.009345283616461864,0.3726507366368551,-0.009634094653185488,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.344563782418105,0.27430926962879376,0.040719196192490745,0.020624008461131677
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,250,0.5397567749023438,0.5332086061739943,0.13724440154087347,0.3959642046331209,0.46347912228170446,0.37564759167845896,0.007770191775018975,0.46830960016992373,-0.004830477888219276,0.04120938798958877,0.012169469596579663,0.37125280775144925,0.0043947839270097044,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.33372049336835025,0.27569250698159803,0.040719196192490745,0.030142781597038603
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,300,0.5397567749023438,0.49859681945743684,0.11888029685949957,0.37971652259793726,0.4602363096782496,0.3799944808798907,0.02436812176809111,0.470568768835291,-0.010332459157041396,0.04120938798958877,0.024248059977467262,0.38643557905169357,-0.006441098171802884,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.3201351861532154,0.2738526965338917,0.040719196192490745,0.04547858276044421
THERM_ONLY__optimistic__L025,THERM_ONLY,optimistic,0.25,400,0.5397567749023438,0.24789522918615528,0.10307376057324445,0.14482146861291084,0.42458598653458746,0.3566990795904709,0.013473354611166388,0.37826524217302004,0.04632074436156741,0.04120938798958877,0.014649980753860092,0.30483733988950973,0.051861739700961196,-0.001612158373679451,0.028985507246376812,0.016304347826086956,0.26110164979323885,0.23162977467090964,0.040719196192490745,0.07826546800634585
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,25,0.5397567749023438,0.8437792329279701,0.542104314121677,0.30167491880629305,0.3906319331570819,0.23242990075642994,0.035160079271945366,0.3063182435181182,0.08431368963896368,0.04216385030991136,0.050298702088887814,0.13580108348525863,0.09662881727117131,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.4285214808253788,0.29648161163138903,0.2459016393442623,0.0010576414595452142
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,50,0.5397567749023438,0.8222637979420019,0.4276253382243855,0.3946384597176164,0.4904655743147431,0.32266964748298904,0.11796145727695789,0.42351875376741094,0.06694682054733214,0.04216385030991136,0.12368671789386054,0.2013976314308119,0.12127201605217713,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.5311859755157153,0.39084211179359324,0.15177154944473822,0.0010576414595452142
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,75,0.5397567749023438,0.8101028999064547,0.3641198199789538,0.44598307992750086,0.5087600288664236,0.3540975530800458,0.057535012192802604,0.4627505564593728,0.04600947240705078,0.04216385030991136,0.04894711286434683,0.23785175167974007,0.11624580140030574,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.5315402344388218,0.4033530428220209,0.08302485457429931,0.0037017451084082496
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,100,0.5397567749023438,0.7867165575304023,0.29626804305913684,0.4904485144712654,0.5336307741519116,0.37584127530677996,0.0372228249242077,0.5214362268418059,0.012194547310105719,0.04216385030991136,0.012613893910479845,0.33069398435404196,0.045147290952738006,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.515466468878888,0.3821445515630439,0.06927551560021153,0.006874669487043892
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,125,0.5397567749023438,0.6941066417212348,0.26727968932602536,0.42682695239520946,0.49229303169799576,0.36153985122819704,-0.004932546693855289,0.5624710898750349,-0.07017805817703915,0.04216385030991136,-0.004424604293011003,0.3871791096021482,-0.025639258373951146,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.44147885458737096,0.33479534431231156,0.06768905341089371,0.01110523532522475
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,150,0.5397567749023438,0.6828811973807296,0.2523031095770421,0.4305780878036875,0.4622093205522848,0.3421296278375195,-0.024785538759220793,0.5743183702323399,-0.11210904968005508,0.04216385030991136,-0.0249146164996894,0.4143965861601747,-0.07226695832265523,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.3923877981083485,0.3010589943731365,0.06768905341089371,0.013749338974087784
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,200,0.5397567749023438,0.5940130963517306,0.1626176993357322,0.4313953970159984,0.473486147204055,0.37528704369501653,0.017802864836263366,0.52484020972591,-0.051354062521854926,0.04216385030991136,0.021615685327808776,0.3931133642200594,-0.01782632052504285,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.3580178140998207,0.29206716753631334,0.041248016922263354,0.022739291380222106
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,250,0.5397567749023438,0.5884003741814781,0.14022612367483658,0.4481742505066415,0.47697868010348143,0.38863774240944765,0.02126974959679595,0.4996396980638161,-0.02266101796033465,0.04216385030991136,0.025159620327568355,0.3977036456489505,-0.009065903239502848,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.3545391720187128,0.3005699633451279,0.041248016922263354,0.033315705975674244
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,300,0.5397567749023438,0.5163704396632367,0.11694037766538556,0.39943006199785114,0.46919017447063815,0.3871458390425168,0.03332198656047969,0.4816318823929386,-0.012441707922300427,0.04216385030991136,0.031399418140093394,0.39707921969816723,-0.009933380655650415,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.31002185196161397,0.2615361153287639,0.040719196192490745,0.047593865679534636
THERM_ONLY__optimistic__L050,THERM_ONLY,optimistic,0.5,400,0.5397567749023438,0.28344246959775493,0.09834126467915608,0.18510120491859886,0.41433614655750056,0.34450686977267697,0.003223514634079494,0.39840224980115974,0.015933896756340826,0.04216385030991136,0.0024577709360661393,0.3312481143512457,0.01325875542143129,-0.0006576960533568599,0.028985507246376812,0.016304347826086956,0.22028186665770902,0.18699743515222758,0.035959809624537285,0.07773664727657324
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,25,0.5397567749023438,0.8437792329279701,0.5425360534954198,0.3012431794325503,0.3903632042857316,0.23372230420107323,0.0348913504005951,0.30960209164118396,0.08076111264454766,0.04265171238799773,0.051591105533531106,0.15666362511112245,0.07705867908995079,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.42836942533716876,0.29877844403262893,0.24431517715494447,0.0010576414595452142
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,50,0.5397567749023438,0.8278765201122544,0.43574883400144854,0.3921276861108059,0.48346399191607325,0.3141093166197558,0.11095987487828807,0.45731691307849043,0.026147078837582827,0.04265171238799773,0.11512638703062728,0.22481916052286646,0.08929015609688931,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.5219486179005953,0.38126535771209596,0.15124272871496564,0.0015864621893178213
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,75,0.5397567749023438,0.8082319925163705,0.37057412676806556,0.4376578657483049,0.47962896478995287,0.32182888292156014,0.0284039481163319,0.500071408008762,-0.02044244321880917,0.04265171238799773,0.016678442705861163,0.28217404955770403,0.03965483336385611,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.4921802361516967,0.36111992641781004,0.08302485457429931,0.004230565838180857
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,100,0.5397567749023438,0.7839101964452759,0.2926386846425287,0.49127151180274725,0.5138203576790228,0.3623422187387276,0.01741240845131886,0.5244365593053806,-0.01061620162635779,0.04265171238799773,-0.0008851626575725469,0.32048197652520444,0.041860242213523136,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.48538529356166477,0.36814764639473374,0.07086197778952935,0.007932310946589107
THERM_ONLY__optimistic__L075,THERM_ONLY,optimistic,0.75,125,0.5397567749023438,0.7811038353601497,0.26533660174899665,0.5157672336111531,0.4996596068805076,0.3568071040099268,0.0024340284886565366,0.555860228976623,-0.05620062209611543,0.04265171238799773,-0.00915735151128122,0.3728644783895839,-0.016057374379657097,-0.00016983397527049054,0.028985507246376812,0.016304347826086956,0.4535476127932941,0.34472159748188397,0.06927551560021153,0.01110523532522475
